Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
1999/4/30,22.8,21.3,19.4,80,0,7
1999/5/1,24,22.1,20.3,82,0.2,11.8
1999/5/2,26.7,23.8,21.6,78,0.7,0
1999/5/3,29.8,25.3,22.6,80,8.2,0
1999/5/4,30.3,26.2,23.5,82,8.2,0.2
1999/5/5,25.1,21.4,19.9,91,0,14.8
1999/5/6,21,19.5,17.3,90,0,12.4
1999/5/7,24.5,20.8,17.6,77,0.2,1.6
1999/5/8,21.3,19.4,17.9,94,0,22.4
1999/5/9,20.3,19,17.3,94,0,22.2
1999/5/10,27.3,22.6,18.4,80,8.9,0
1999/5/11,29.8,24.6,20.5,77,10.5,0
1999/5/12,27.8,24.7,22.9,85,2.5,0
1999/5/13,28.5,24.9,22.5,84,5.5,0
1999/5/14,28.8,25.3,23.1,84,4.7,0.01
1999/5/15,28.4,25.4,23.7,89,0.8,0.01
1999/5/16,27.5,26,24.6,91,2.5,0.4
1999/5/17,29.6,27,25.7,88,8.5,0.4
1999/5/18,29.8,26.8,24.2,83,6.2,3
1999/5/19,25.1,23.4,22.5,93,0,58.4
1999/5/20,25.8,24.2,23.1,80,0.4,0.01
1999/5/21,25.7,24.4,23.9,85,0.1,0.01
1999/5/22,28.8,26.2,24.3,90,3.8,0
1999/5/23,29.4,26.6,24.8,91,6.3,0
1999/5/24,30.2,27.5,25.9,87,5.4,0
1999/5/25,28.7,27.2,26.4,88,2.1,0.01
1999/5/26,29.3,27.3,23.9,88,2.5,2
1999/5/27,24.4,23.2,21.5,91,0,20.4
1999/5/28,23.2,22.2,20.5,84,0,3.8
1999/5/29,23.1,22.5,21.7,84,0,0.01
1999/5/30,28.4,24.9,22,85,2.2,0.01
1999/5/31,30,26.9,24.3,86,12.2,0
1999/6/1,30.6,27.4,25.2,86,11,0
1999/6/2,31.8,28,25.4,86,11.3,0
1999/6/3,32.2,28.8,25.9,83,11.5,0
1999/6/4,31.9,28.7,26,80,11.9,0
1999/6/5,31.9,28,26.2,85,7.5,0.01
1999/6/6,34.8,30.4,26.1,69,6.6,0
1999/6/7,30.8,26.1,24.5,91,0,76.2
1999/6/8,28.9,26.8,24.7,90,0,23
1999/6/9,30.1,28,26.4,90,9.9,0.01
1999/6/10,30.7,28.1,26.1,86,12,0.01
1999/6/11,30.8,28.1,26.4,84,11.4,0
1999/6/12,30.9,28.2,26.2,83,12.1,0
1999/6/13,31.7,28.4,26.2,81,12.4,0
1999/6/14,31.3,28.6,26.5,80,10.4,0
1999/6/15,31.1,28.3,26.6,83,4.8,0
1999/6/16,31,28.4,26.3,83,2.2,0.8
1999/6/17,29.9,27.9,26.6,86,0.5,18.8
1999/6/18,31.6,28.6,26.2,82,9.2,0.01
1999/6/19,31.6,28.5,26.5,84,7.9,2.4
1999/6/20,27.6,26.5,24.6,92,0,44
1999/6/21,29.9,27.6,25.9,89,1.5,4.8
1999/6/22,28.9,28,26.4,86,0,3
1999/6/23,30,27.8,25.7,88,2.3,2.2
1999/6/24,30.4,28.2,26.9,86,3.7,0.01
1999/6/25,30.3,28.4,26.9,85,7,0.2
1999/6/26,30.7,28.2,26.7,86,6.9,7.8
1999/6/27,31,28.6,26.6,80,11.3,0
1999/6/28,31.6,28.6,26.6,80,9.4,0
1999/6/29,30.8,28.4,26.5,81,9.9,0.4
1999/6/30,31.5,28.7,25.9,79,10.7,0.01
1999/7/1,31.3,28.8,27,79,9.3,1.6
1999/7/2,32,29,26.4,78,11.1,0
1999/7/3,29.7,27.8,26.2,87,2.1,9.8
1999/7/4,29.9,27.2,25,86,2,24
1999/7/5,30.2,26.4,24.5,87,3,34.8
1999/7/6,29.2,25.6,24.2,91,1.4,63
1999/7/7,30.2,27.3,24.3,89,1.1,0.8
1999/7/8,28.6,27.1,24.5,92,0.2,30
1999/7/9,28.3,27.1,24.6,93,0.2,70
1999/7/10,29.9,28.1,26.8,90,4.4,0.01
1999/7/11,30.3,28.4,27.1,87,6.4,0
1999/7/12,30.9,28.6,27,88,4.5,0.01
1999/7/13,31.4,28.6,27,87,8.7,0.01
1999/7/14,31.9,29.2,27.1,84,10.2,0
1999/7/15,32.3,29.1,27.3,84,5.8,0.01
1999/7/16,30.6,28.4,26.2,86,5,10
1999/7/17,31,28.7,26.6,85,9.9,1.2
1999/7/18,31.1,28.8,27.4,85,1.6,0.01
1999/7/19,32.6,29.3,27.3,84,10.4,0
1999/7/20,32.7,29.4,27.5,85,7.6,0
1999/7/21,33.6,29.6,27.5,84,7.5,0
1999/7/22,33.4,29.9,27.4,84,8.5,0.01
1999/7/23,29.4,27.9,26.1,87,1.2,17.8
1999/7/24,34.4,29.6,26.4,82,9.8,0
1999/7/25,33.5,29.7,27.3,78,8.4,1
1999/7/26,30.7,27.9,26.1,85,1.6,1.4
1999/7/27,30.6,28.2,25.5,81,0,0.4
1999/7/28,32.6,28.7,26.1,84,6.4,0
1999/7/29,32.9,29.4,27,85,10.7,0
1999/7/30,32.2,29.5,27,83,10.9,0.01
1999/7/31,32.4,29.2,27.4,83,6.9,0.01
1999/8/1,32.7,29.5,27,80,11.4,0.01
1999/8/2,33.2,29.6,27,80,10.2,0
1999/8/3,30.6,28,25,87,0.7,93.2
1999/8/4,31.8,28.3,26.2,86,4.9,0.01
1999/8/5,31.9,27.8,24.5,85,3.9,19.6
1999/8/6,33.3,28.2,25,84,6.3,0.2
1999/8/7,31.4,28.8,27,84,0.7,0
1999/8/8,31.1,28.6,26.1,85,6.3,13.8
1999/8/9,31,28.4,25.3,87,2.7,32.2
1999/8/10,30.7,27,25.5,90,1.8,33.8
1999/8/11,29.3,26.7,25,92,0.2,20.2
1999/8/12,28,27.1,25.6,88,0,2
1999/8/13,28,26.8,25.9,92,0,13.6
1999/8/14,29.9,27.8,26,88,1.1,0
1999/8/15,31,28.4,25.2,86,9.4,7.6
1999/8/16,31.7,28.7,26.6,83,10.1,0.8
1999/8/17,31.6,28.6,26.7,78,11.9,0
1999/8/18,32.8,28.8,26,78,11.9,0
1999/8/19,33,29.2,26.3,78,11.6,0
1999/8/20,35,30.7,26.7,72,10.5,0
1999/8/21,34.7,30.2,25.6,72,7.9,8
1999/8/22,28.2,26.1,24.2,84,0,169.4
1999/8/23,25.2,24.2,23.1,96,0,124.6
1999/8/24,26.9,25.3,23.4,94,0.3,86.4
1999/8/25,26.5,25.4,23.3,94,0,59
1999/8/26,29.9,27.2,25,91,5.8,0
1999/8/27,30.1,27.4,26,90,2.6,11.8
1999/8/28,29,26.1,25,94,1.5,19.6
1999/8/29,28.9,26.8,24.6,90,2,6.8
1999/8/30,30.4,27.8,26.1,84,8.4,0
1999/8/31,30.2,27.3,25,88,5,8.6
1999/9/1,31.8,27.6,25.9,87,5.9,5.6
1999/9/2,32.7,28.3,25.1,81,6.2,0
1999/9/3,32.8,29,25.8,79,7.8,5
1999/9/4,33.6,28.9,26.7,78,5,0.6
1999/9/5,31.7,28.6,26.8,87,5.7,2.6
1999/9/6,32.1,28.8,26.6,84,10,0
1999/9/7,31.9,28.8,26.6,84,10.8,1
1999/9/8,32,28.8,26.7,82,7.2,0.01
1999/9/9,30.2,27.6,26.2,84,6.9,0.4
1999/9/10,31.9,28.4,26,82,10.2,0.01
1999/9/11,32.4,28.9,26.6,81,9.8,0
1999/9/12,34.7,29.8,26.9,79,6.9,0
1999/9/13,33.2,29.8,27.8,84,2.5,0
1999/9/14,32.6,29.9,27.4,75,1.1,1
1999/9/15,30.2,28.4,26,75,0,0.8
1999/9/16,27.4,24.4,23,93,0,167
1999/9/17,25.9,24.7,22.9,93,0,14.4
1999/9/18,28.5,26.5,25,87,2.6,0.8
1999/9/19,30.5,27.5,25,86,5.9,0
1999/9/20,32.2,26.6,24.3,90,3.5,57.8
1999/9/21,28.4,25.9,24.1,80,4.4,0
1999/9/22,27.1,24.9,22.2,64,10.3,0
1999/9/23,27.9,24.9,21.6,66,10.4,0
1999/9/24,28.5,25.2,22.6,65,7.3,0
1999/9/25,27.3,25.2,23.3,67,0.9,0
1999/9/26,26,24.2,23.4,80,0.1,0.4
1999/9/27,29.9,25.9,24.3,87,3.6,8.8
1999/9/28,28.4,26.4,24.7,88,3.7,1.2
1999/9/29,31.2,27.2,24.7,84,7.4,0
1999/9/30,29.6,26.8,24.9,81,10,0
1999/10/1,30.6,26.8,25,81,3.5,0
1999/10/2,31.4,27.4,24.8,82,10.1,0
1999/10/3,30.5,26.1,23.9,87,4.2,18.4
1999/10/4,27.3,25.2,22.9,84,2.8,3.2
1999/10/5,28.8,25.7,22.4,76,8.1,0
1999/10/6,29.2,26.3,23.2,70,9.2,0
1999/10/7,30.8,26.8,22.9,68,9.8,0
1999/10/8,30.9,27,22.8,67,9.4,0
